Date,Open,High,Low,Close,Volume,SMA_10,SMA_50,EMA_10,EMA_50,MACD,MACD_Signal,MACD_Hist,RSI,Upper_Band,Middle_Band,Lower_Band,Momentum,Stoch_K,Stoch_D,Williams_%R,OBV,ATR,Returns,Volatility_5d,Volatility_10d,Lag1_Close,Lag1_Volume
2020-12-09,919.08251953125,922.1885651259228,906.522509499852,911.374225280082,29175254,889.8633830296023,940.0686447290334,893.8605598105139,926.7211487243023,-11.146371362949026,-14.812037185406917,3.665665822457891,51.38705189732939,935.5255631569836,898.8696562724032,862.2137493878228,20.83524769675296,54.0962557500157,42.68681040118414,-17.182988993759285,-268191686.0,27.536825239820367,0.02488340478798623,0.014573688052048,0.012078114539668977,889.2467387240156,43403061.0
2020-12-10,910.0364990234376,919.7852655926706,907.3159283447816,916.6566123106188,16065507,891.7496601297229,938.2240847028813,898.0052966287147,926.3264610218049,-8.550704285397956,-13.559770605405124,5.009066320007168,52.868266175095215,927.8388241184512,897.3415939760255,866.8443638335998,18.862771001206056,76.49966010503263,56.68963761031299,-8.789763008596598,-252126179.0,26.46057609753956,0.005796068051972192,0.014551655282225701,0.011975876387890196,911.374225280082,29175254.0
2020-12-11,909.492431640625,924.0929139357568,895.1866323672836,912.7570925495094,26944202,894.4679749506435,935.9841359991141,900.6874413415865,925.7943289248522,-6.7306908661471425,-12.193954657553528,5.463263791406385,51.617915076759935,929.297500887614,898.0670804675501,866.8366600474862,27.18314820920466,84.19545297067884,71.59712294190903,-21.44088908560778,-279070381.0,26.635269345463392,-0.004254068217846463,0.01490782291065879,0.01092765051154597,916.6566123106188,16065507.0
2020-12-14,902.9176635742188,913.6639990942832,900.6731791916262,910.4672819578382,17312747,897.5263699731404,933.6639285649721,902.465594180905,925.193268259479,-5.4107143499311405,-10.83730659602905,5.4265922460979095,50.85730276082347,930.351265330763,898.655408513487,866.9595516962111,30.583950224970522,81.33248237721506,80.6758651509755,-25.77190077415068,-296383128.0,25.660665813834363,-0.002508674663130095,0.011738506889352046,0.01061470482347611,912.7570925495094,26944202.0
2020-12-15,895.2321166992188,902.192249711576,889.2240965886848,902.192249711576,18551265,899.7640614317612,931.3577794288027,902.4158951864815,924.2912675321103,-4.975000684792235,-9.664845413781688,4.689844728989453,48.09892896331507,929.0847923106403,898.0840873915404,867.0833824724405,22.376914586207704,70.45456077411882,78.66083204067088,-41.423527817885315,-314934393.0,25.345131496357148,-0.009088774973294855,0.01337722845339301,0.01130939968823583,910.4672819578382,17312747.0
2020-12-16,896.2294311523438,904.5726057431556,891.3097124762019,901.4212248615024,18561011,901.1016689086924,929.2062463041121,902.2350460364853,923.394403113655,-4.638440670973637,-8.659564465220077,4.02112379424644,47.83857666907957,918.1579373172723,895.8849365924436,873.611935867615,13.376074769311572,63.30756855343594,71.69820390158992,-42.88186574765638,-333495404.0,24.482114479971187,-0.0008546125843134078,0.005420222568288075,0.01108776177627589,902.192249711576,18551265.0
2020-12-17,900.3331298828125,909.129724301802,896.5016507528353,899.8343755485606,20252358,901.6684619454261,926.9345568407216,901.7985604932263,922.4704804640435,-4.448480597692651,-7.817347691714592,3.368867094021941,47.271454061158806,917.743618254254,895.6865668084167,873.6295153625795,5.667930367336567,56.60377652957926,63.45530195237799,-45.88327684572073,-353747762.0,23.63539727061372,-0.001760386009532433,0.0032643242451088294,0.010961488676099734,901.4212248615024,18561011.0
2020-12-18,903.0309448242188,909.084299862856,890.992358453629,897.8392107518212,18466344,902.1717761240274,924.4053179404167,901.0786787220618,921.5045483184662,-4.408114990187414,-7.135501151409157,2.7273861612217427,46.524645053013856,917.4701871657969,895.52559872405,873.5810102823032,5.033141786013516,52.53294404789157,57.48142971030223,-53.63602526294839,-372214106.0,23.239436137657528,-0.0022172578098310636,0.003303701890866967,0.010979251572933916,899.8343755485606,20252358.0
2020-12-21,879.5206298828125,916.8380330457732,841.228385961526,911.396891229463,44135540,905.3185902924988,922.3648779635936,902.954717359771,921.1081696090935,-3.2447302169719023,-6.357346964521706,3.1126167475498034,52.06633847196124,919.3283633538906,896.3191058082664,873.3098482626422,31.468141684715192,61.719759158593355,56.952159912021365,-15.321420415551012,-328078566.0,26.98016549098536,0.015100343486100565,0.00893159563390474,0.01044207301680996,897.8392107518212,18466344.0
2020-12-22,878.1603393554688,888.2265172786522,856.2822534289644,883.7375484737753,28140001,904.7676712674747,919.7712512569078,899.4606866532264,919.6426550547673,-4.502712734513466,-5.986420118520058,1.4837073840065917,42.41025794516845,919.3782433846765,896.2737647637005,873.1692861427244,-5.5091902502402945,60.7807145349029,58.344472580462586,-48.7004107167921,-356218567.0,28.989770655950593,-0.03034829613953982,0.016409921134659753,0.014586146405423342,911.396891229463,44135540.0
2020-12-23,881.40234375,884.8484079017386,870.8826879671385,875.1223093610237,19501410,901.1424796755689,917.0452220908935,895.0355271455531,917.8967591452086,-6.124254149165722,-6.01398692464919,-0.11026722451653193,39.92646782298296,920.2888033784919,895.5029313525853,870.7170593266786,-36.25191591905832,58.96032748184884,60.486933725115016,-59.09718642211054,-375719977.0,27.91662417585413,-0.009748639884805455,0.016463515330660348,0.011711039602092934,883.7375484737753,28140001.0
2020-12-24,904.2099609375,906.3183777688924,882.3318755488342,882.8306298588741,20776988,897.7598814303944,914.0353443601267,892.8164549116115,916.5216168202544,-6.709991751709481,-6.153187890061249,-0.5568038616482323,43.13541778920339,920.1155331199375,894.7547707800583,869.394008440179,-33.82598245174472,47.46917758174826,55.73673986616665,-49.79487011585274,-354942989.0,28.150870192426602,0.008808277900581363,0.017739957750232817,0.012025195893281347,875.1223093610237,19501410.0
