Price,Close,High,Low,Open,Volume
Ticker,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS
Date,,,,,
2020-08-18,627.1143188476562,640.2625789731422,624.607817860482,637.6241342795715,4752247
2020-08-19,639.1193237304688,641.1421207830876,623.5524878397931,628.8293777227815,6506907
2020-08-20,638.8554077148438,643.7804828331066,629.8846853329501,633.2267044260066,6610632
2020-08-21,644.30810546875,647.8700483768399,642.0214751113022,642.9009565840573,4207706
2020-08-24,635.4253540039062,646.3749089021842,632.5670392627122,646.3749089021842,2385907
2020-08-25,649.5850830078125,651.1241757953012,628.2576543811829,639.3831180024629,4585917
2020-08-26,644.5281372070312,651.6959344762986,639.3831907749919,651.6519711275115,3157074
2020-08-27,646.9465942382812,656.4010207185456,644.1762596167562,646.4189267901696,3207076
2020-08-28,661.6779174804688,666.9548067390759,650.8163418948864,651.6958234379875,4223327
2020-08-31,651.69580078125,681.334338489211,643.8683938480582,668.1421158013314,7224350
2020-09-01,640.1306762695312,661.8978463857584,635.6013781296932,649.9369178138135,3563888
2020-09-02,646.5948486328125,655.8733682829886,640.3945144187618,642.1534775251191,3467486
2020-09-03,668.0101928710938,670.1649333796296,644.7478954057191,650.7723761613927,4606227
2020-09-04,658.0281982421875,666.9989220394813,653.9385869924605,656.9728094990998,2954845
2020-09-07,657.0606079101562,661.2821620582911,645.5833850582304,659.3472920202778,3367905
2020-09-08,661.5900268554688,676.3213435052915,655.2137853204708,658.2919708890905,5237241
2020-09-09,662.5574340820312,668.3620447812195,654.9499505392407,661.326192064116,3038259
2020-09-10,659.6111450195312,666.9988113154669,650.2006819480607,665.4597186437547,3737568
2020-09-11,672.935302734375,677.7284340481219,657.4124325215149,659.0834688718816,4917946
2020-09-14,695.4500732421875,700.5950191159848,677.2008300935622,677.3327738049096,9021887
2020-09-15,695.8018798828125,706.3116419169558,681.5982307635693,695.4500657758612,6339704
2020-09-16,696.5494384765625,698.5282721085982,689.5135855626579,696.5494384765625,4279003
2020-09-17,692.1080322265625,713.6553306909151,687.1389398844938,693.0314771391758,7591219
2020-09-18,707.6748046875,711.3246206752226,693.031416359955,697.4288238241678,6281494
2020-09-21,692.3718872070312,729.969725477086,689.7774057601389,709.7416487469981,10789179
2020-09-22,703.9810791015625,713.259599530995,678.9598160763603,697.4289302442405,9053623
2020-09-23,697.4728393554688,714.534803065093,688.7219871109928,714.534803065093,6091530
2020-09-24,661.2382202148438,692.9875382173077,657.4564600665477,692.9875382173077,5929066
2020-09-25,679.267578125,683.6649860333105,658.423907583045,664.0525574981049,6986586
2020-09-28,685.4679565429688,689.8653643892046,678.9597714588216,685.4239395210703,3604366
2020-09-29,675.57373046875,694.7903796233246,671.9238608002785,690.3929721573542,7041805
2020-09-30,696.32958984375,699.0119981151821,673.3751404661841,679.8393090612173,5433474
2020-10-01,723.3735961914062,725.8800972110504,701.6943538733439,702.0022046324918,10104719
2020-10-05,739.8639526367188,748.3949355456264,722.8019868189035,723.4176347218907,8551125
2020-10-06,745.272705078125,751.9127802063542,732.1684081925109,751.9127802063542,4902535
2020-10-07,744.3492431640625,745.932353014034,736.3459819416414,744.920927685363,3943817
2020-10-08,756.6179809570312,780.5838536451996,754.2873870132817,758.1131103560053,11398839
2020-10-09,751.2091064453125,758.508791787756,743.381700022166,756.7937922142252,5306496
2020-10-12,753.6278076171875,760.5756800782394,746.1522139863829,757.2336607203273,3343240
2020-10-13,763.5659790039062,773.8559250412361,748.4388838932358,753.6278470981756,7327471
2020-10-14,746.5479125976562,768.490988604212,743.6895974822348,764.2694877849872,5346616
2020-10-15,714.4909057617188,754.9030441736775,709.4778496781817,750.1978388717001,8893099
2020-10-16,723.593505859375,728.4746181347818,702.5299102370589,715.1944670893616,7978964
2020-10-19,724.82470703125,735.7742088736159,719.0640602045252,728.2106893687966,4558879
2020-10-20,747.4273071289062,750.1097685605788,720.8229926143816,721.7024740859362,7382532
2020-10-21,743.9534912109375,753.8916223453386,733.4436755768827,748.5267524909835,4818496
2020-10-22,736.5218505859375,750.989333129706,728.9143135434952,743.0299819879976,3962610
2020-10-23,746.020263671875,754.1115050894688,733.0918734771574,738.7645405061892,7356677
2020-10-26,720.5152587890625,751.6928904270541,715.8979806582812,729.9696854378052,9770648
2020-10-27,728.782470703125,733.2678055230609,717.6570066648488,726.8036370450418,5479538
2020-10-28,707.3670654296875,735.6424213521373,704.464786781802,729.9697540935027,6829067
2020-10-29,720.76513671875,725.3805648205922,700.6903382614231,707.9943525120453,6477299
2020-10-30,728.8756103515625,733.6702879196575,719.375962262451,722.9607433827828,6189261
2020-11-02,730.0856323242188,739.1819831613606,725.38060629484,736.1349515048486,4433983
2020-11-03,724.2154541015625,739.3611776817214,720.809922647277,735.7763962141737,4599741
2020-11-04,741.0191650390625,749.219375054901,728.2483802369903,731.2954665607646,5017595
2020-11-05,753.4315185546875,761.4972775276067,747.2029492968252,749.219389040055,4269675
2020-11-06,762.7968139648438,765.3509492341545,738.5546821762774,748.323234906931,4123331
2020-11-09,782.154541015625,785.9633714932147,766.4711214020203,769.8318541763642,4297119
2020-11-10,736.0452270507812,781.4823420526733,734.0735863488371,781.4823420526733,6889383
2020-11-11,750.5635986328125,753.3866358387826,728.1139162643365,734.8801801539179,5387431
2020-11-12,755.7167358398438,759.973663791506,747.9198252832301,750.1155148508143,3150886
2020-11-13,751.7734985351562,757.9124699193261,746.8444237753279,751.0117543156808,2839192
2020-11-14,752.9385986328125,757.2403256783042,750.9669577829626,756.3889290954796,214282
2020-11-17,757.5092163085938,767.5914152834198,744.64883327381,760.4666504013234,3635434
2020-11-18,749.3088989257812,757.1954616460761,743.9765804334438,756.3888639635024,2772377
2020-11-19,737.4791870117188,760.8698641354051,734.8801985760097,746.5307383095317,5593368
2020-11-20,750.6083984375,757.2402658541238,740.6158531847307,742.9459391962889,6063818
2020-11-23,775.8812255859375,779.152360920389,749.8915570419096,751.0118013757038,6251814
2020-11-24,786.5459594726562,797.6139514130543,774.5817173818028,779.6900423925363,7068121
2020-11-25,772.7444458007812,788.6519133716295,766.4710783080524,784.1709365911088,4445185
2020-11-26,768.0842895507812,777.8528417092392,758.8086886429926,776.5533473836567,5169423
