Price,Close,High,Low,Open,Volume
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS
Date,,,,,
2020-11-12,2082.029052734375,2110.741027624267,2072.634087304946,2082.2207389576056,1626054
2020-11-13,2089.841796875,2115.3423804333997,2082.2204566542446,2090.369109454227,1560060
2020-11-14,2094.300048828125,2102.7361151848377,2090.225721807327,2101.3940775505744,146991
2020-11-17,2097.223876953125,2130.0581607700597,2091.8075120745075,2115.1988498456076,1699293
2020-11-18,2104.98876953125,2118.649746402852,2076.564444607515,2094.683120312322,1817170
2020-11-19,2072.346435546875,2104.2700322768887,2067.553109733032,2085.0967290215185,2669522
2020-11-20,2076.995849609375,2099.524478704383,2071.243859202139,2073.928168202,2196113
2020-11-23,2095.881103515625,2106.1387709688775,2050.392501560738,2071.2434627963994,4002609
2020-11-24,2116.63671875,2138.7819776242936,2100.4353711227373,2102.2567413119164,2954306
2020-11-25,2065.25244140625,2117.40373351099,2061.1301343277714,2106.4270640240443,1682365
2020-11-26,2066.2109375,2087.445275852146,2029.6377234938564,2070.7166166616203,2247478
2020-11-27,2123.730712890625,2151.819645411708,2075.5098145014,2080.3031397081004,10036402
2020-12-01,2137.870849609375,2180.962792927963,2115.006596600153,2180.962792927963,2235498
2020-12-02,2220.12451171875,2229.8068881288214,2143.575015164897,2148.3683403329765,3305952
2020-12-03,2311.724609375,2321.742845526209,2220.5077313225934,2243.2760243043144,4334658
2020-12-04,2337.9443359375,2343.9359923596876,2276.829440431189,2300.7960661199386,2789953
2020-12-07,2370.347412109375,2376.3390689143425,2336.2668213929014,2339.142816659286,1762501
2020-12-08,2338.088134765625,2381.515709045143,2327.590799107601,2368.4300245199347,2090950
2020-12-09,2418.041015625,2427.4359803646407,2345.853487170736,2348.7294824553755,2022370
2020-12-10,2421.635986328125,2446.513298490021,2397.621379123645,2411.953375343774,2372909
2020-12-11,2416.746826171875,2432.0374882710203,2391.8695127191463,2412.001480561672,2171653
2020-12-14,2442.822265625,2448.3345896897754,2416.7946030083485,2425.42258850104,1280339
2020-12-15,2422.977783203125,2433.6670382756433,2399.0591385021976,2430.215750690538,1283286
2020-12-16,2475.704345703125,2480.9290230657816,2432.7083615205875,2435.0090638668185,1920875
2020-12-17,2468.610595703125,2495.7408646576328,2451.306643956499,2462.810625077922,1750663
2020-12-18,2493.967041015625,2527.040984092711,2469.0897306413713,2470.4797481058104,4402604
2020-12-21,2449.053466796875,2494.7339948151657,2434.146413175556,2488.167045896825,1383048
2020-12-22,2493.2958984375,2505.566856851756,2393.0194490503195,2435.9676864756816,1993090
2020-12-23,2533.32080078125,2540.462809795189,2496.36421007799,2496.36421007799,1339307
2020-12-24,2538.78466796875,2548.131652019612,2504.991725631018,2548.131652019612,1143202
2020-12-28,2572.961181640625,2578.3297998481617,2520.857873614331,2544.536854897558,1226254
2020-12-29,2585.328125,2600.3311404072347,2562.5118484879677,2574.0158298504275,1562853
2020-12-30,2621.373291015625,2629.4741969135025,2569.557638787514,2582.643321462608,1614643
2020-12-31,2650.2294921875,2657.419479957949,2612.4102033247545,2621.3735809824657,1526325
2021-01-01,2660.822998046875,2676.5929923272356,2636.3290576289032,2644.9570436356885,1246698
2021-01-04,2639.875732421875,2675.7299434266392,2631.5353938304775,2666.1432935401895,1360486
2021-01-05,2678.3662109375,2688.6718593299215,2619.0726891251975,2639.8756720935753,1299589
2021-01-06,2689.39111328125,2705.78414533873,2665.0888604485326,2685.5084729876858,1697884
2021-01-07,2676.83251953125,2714.795749608379,2666.526870114127,2685.220838824257,1142806
2021-01-08,2727.1142578125,2732.0035428946985,2673.764644590552,2701.5179493182695,1660967
2021-01-11,2731.5244140625,2754.676081741834,2707.845433788072,2727.4021074768825,1517995
2021-01-12,2608.09619140625,2732.195332598128,2600.043264733355,2731.811960206167,6674890
2021-01-13,2591.942626953125,2648.7915107471267,2567.3049821863215,2645.9155156214515,2862676
2021-01-14,2553.78759765625,2623.53047634551,2538.5449177891537,2600.8581427348845,2124950
2021-01-15,2483.80517578125,2551.8226480813037,2473.8831329777313,2550.911729047706,2570436
2021-01-18,2481.217041015625,2511.558932789526,2449.772777962595,2484.8600153170373,2395168
2021-01-19,2535.71728515625,2565.9632172498395,2482.9427221856868,2506.9093507782127,2558693
2021-01-20,2585.759033203125,2595.249722576813,2535.716769684564,2544.2967741666857,2065439
