Price,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,
2020-10-26,1196.884033203125,1230.855649118804,1191.9606106066499,1230.855649118804,1425518
2020-10-27,1212.9345703125,1218.054882287081,1194.9640758891053,1200.3305590201712,1778338
2020-10-28,1198.361083984375,1221.9935129207965,1167.1957942843192,1212.9344632421348,4810354
2020-10-29,1160.1551513671875,1182.606004529304,1137.8521451109668,1182.606004529304,5274120
2020-10-30,1147.89599609375,1169.6083381597816,1141.3478198991731,1158.3829104263282,2275592
2020-11-02,1150.6038818359375,1163.8971230894979,1136.3259560450765,1149.619197298637,2502801
2020-11-03,1181.572265625,1186.8404245201577,1156.807543510106,1159.9584862242993,2079628
2020-11-04,1197.0318603515625,1199.247400705859,1174.433276617283,1181.5722399811275,2043263
2020-11-05,1223.07666015625,1234.6467036626566,1191.7144811598853,1205.401620496976,2215527
2020-11-06,1234.302001953125,1246.462831302782,1220.02407692056,1223.0765747839253,2546487
2020-11-09,1265.368896484375,1267.9782143141047,1233.2680848201212,1246.0198215348132,1840061
2020-11-10,1285.4073486328125,1291.9062431940938,1254.832842586672,1266.3044426429915,2898878
2020-11-11,1255.1773681640625,1298.5034890668255,1244.3458379383717,1289.8383370067245,2872916
2020-11-12,1258.525390625,1276.1512693889656,1247.5954153671446,1267.2398254846107,3650248
2020-11-13,1268.716796875,1284.0286901484058,1258.8699510916533,1277.135898100063,3107920
2020-11-14,1267.0921630859375,1278.0221378618905,1259.5100197146742,1275.1665285454603,288198
2020-11-17,1282.0098876953125,1284.8163345736436,1257.737511858617,1277.1357476869036,2185705
2020-11-18,1260.4947509765625,1283.0440526886796,1247.5954065668127,1282.010085763155,2934467
2020-11-19,1272.655517578125,1324.9915262325703,1250.5986794892406,1258.9684982892688,6942825
2020-11-20,1344.2421875,1350.2980217480242,1275.7573264184655,1276.1019419836405,10421957
2020-11-23,1326.9608154296875,1353.9411949176501,1311.5997611856799,1353.9411949176501,2995116
2020-11-24,1306.8240966796875,1343.5527574902976,1302.9838029765049,1326.9608472170867,2876893
2020-11-25,1286.933349609375,1324.400642635609,1280.4344559979288,1310.6150597382868,3417818
2020-11-26,1307.0703125,1312.5845220106821,1288.115134669013,1296.78028669987,2819881
2020-11-27,1340.3525390625,1347.4423398249035,1293.4324171968321,1312.5844832951452,5497388
2020-12-01,1320.560546875,1365.166809154437,1314.553994610192,1361.8188573377495,2881906
2020-12-02,1367.7269287109375,1370.7302648636444,1322.9237787783618,1327.3055772299256,2969071
2020-12-03,1396.775146484375,1402.190911944836,1364.8221783479587,1377.475351792702,3939085
2020-12-04,1415.1395263671875,1418.4874781169813,1392.0485998964073,1396.775134155029,2229459
2020-12-07,1403.470947265625,1414.0070239459242,1396.2827019187469,1414.0070239459242,1430365
2020-12-08,1405.981689453125,1413.6622763612024,1390.7190802440723,1403.4708161875637,1666175
2020-12-09,1404.3079833984375,1413.0224181742035,1395.8397197756635,1408.0989951143629,1579066
2020-12-10,1402.3876953125,1422.8691821391635,1393.8702700713684,1406.1295447022321,2588422
2020-12-11,1420.3092041015625,1427.6450568750117,1401.206297301293,1405.6373783538975,1398271
2020-12-14,1441.0364990234375,1446.9938883931393,1422.8691178823317,1428.777224946203,2453825
2020-12-15,1446.2554931640625,1453.394456449468,1427.103425947656,1438.1318452875664,2035503
2020-12-16,1481.4085693359375,1486.8736164701495,1446.6984402097303,1454.3790275009342,2638988
2020-12-17,1478.9468994140625,1496.7205034731055,1469.4447897466916,1472.2511166505537,1951230
2020-12-18,1496.08056640625,1501.6440585979287,1474.171333420149,1478.9963121403862,3299825
2020-12-21,1449.111083984375,1505.139660540971,1428.7773233982734,1491.0093406789442,2298069
2020-12-22,1475.84521484375,1486.8736334486327,1428.9741352711287,1443.5475143282752,3305444
2020-12-23,1468.016845703125,1496.5235337668703,1455.4129563702297,1481.654701829287,2847742
2020-12-24,1472.98974609375,1496.7206213794166,1463.2413443222454,1496.7206213794166,1947894
2020-12-28,1519.9097900390625,1523.946972401059,1473.2357212521642,1480.2762393838584,2497242
2020-12-29,1516.5125732421875,1533.0060386044881,1505.0409747858712,1530.1997118217978,2081338
2020-12-30,1528.8211669921875,1531.873664974581,1509.8168278109974,1524.2916422246926,1151230
2020-12-31,1543.1484375,1546.9394490287614,1520.5498546505796,1525.2763886349787,2031709
